Inf,Name,Age,Club,"Transfer Value",Wage,Nat,Position,Personality,"Media Handling","Left Foot","Right Foot",Spd,Jmp,Str,Work,Height,afa,ifs,ama,dmd,bpdd,fba,sks,"Highest Role Score","Resulting Role"
,"Lucas Chevalier",22,LOSC,"€25M - €30M","€18,000 p/w",FRA,GK,"Fairly Professional",Level-headed,Weak,"Very Strong",10.5,15,12,11.5,"189 cm",8.8,9.5,9.5,10.6,9.7,9.6,13.8,13.8,"Goalkeeper Defend"
,"Giorgi Mamardashvili",23,Valencia,"€34M - €49M","€38,000 p/w",GEO,GK,Balanced,Media-friendly,"Very Strong",Weak,10.5,15,16,11,"199 cm",8.2,8.7,8.5,10.4,10.0,9.1,13.9,14.7,"Goalkeeper Defend"
Wnt,"Boulaye Dia",27,Salernitana,"€13.5M - €19.5M","€49,000 p/w",SEN,"ST (C)","Fairly Determined",Media-friendly,Reasonable,"Very Strong",16,12,13,11,"180 cm",14.7,14.0,13.8,11.2,11.5,11.2,8.0,14.9,"Poacher Attack"
,"Kerem Aktürkoğlu",25,Galatasaray,"€30M - €36M","€93,000 p/w",TUR,"AM (L)",Perfectionist,"Evasive, Reserved",Reasonable,"Very Strong",14.5,7,8,13.5,"173 cm",14.0,14.3,14.1,12.0,10.0,11.8,8.5,14.3,"Inside Forward Attack"
Wnt,"Pablo Maffeo",26,Mallorca,"€16M - €19M","€52,000 p/w",ITA,"D/WB (R)",Ambitious,Media-friendly,"Fairly Strong","Very Strong",15,8,12,16,"173 cm",12.4,13.5,13.3,14.2,12.3,14.2,7.6,14.7,"Ball Winning Midfielder Defend"
,"Tyrell Malacia",24,Torino,"€21M - €26M","€62,000 p/w",NED,"D/WB (L)",Light-Hearted,Unflappable,"Very Strong",Reasonable,15,8,7,16,"169 cm",12.9,13.6,13.4,14.3,12.3,14.3,8.2,14.6,"Ball Winning Midfielder Defend"
Trn,"Nicolò Rovella",22,Lazio,"€14M - €16M","€71,000 p/w",ITA,DM,Resolute,Reserved,Reasonable,"Very Strong",14,8,12,14.5,"179 cm",12.8,13.4,13.7,14.4,12.8,14.2,8.4,14.6,"Carrilero Support"
Sct,"Josip Šutalo",24,Ajax,"€20M - €30M","€30,000 p/w",CRO,"D (C)",Resilient,"Evasive, Unflappable",Reasonable,"Very Strong",13.5,16,14,13,"190 cm",11.7,11.8,12.2,14.0,14.3,13.4,7.8,14.8,"Nononsense Centre Back Cover"
,"Odilon Kossounou",23,"Bayer 04","€32M - €38M","€50,000 p/w",CIV,"D (C)","Fairly Determined",Media-friendly,Reasonable,"Very Strong",15,16,15,13.5,"191 cm",12.5,12.8,12.8,14.0,14.2,13.6,8.3,14.3,"Central Defender Defend"
,Bruma,29,BRG,€20M,"€15,250 p/w",POR,"AM (L)",Ambitious,Media-friendly,"Fairly Strong","Very Strong",15.5,7,8,13.5,"173 cm",14.1,14.6,14.2,12.1,10.5,12.3,7.4,14.8,"Winger Attack"
