Inf,Name,Age,Club,"Transfer Value",Wage,Nat,Position,Personality,"Media Handling","Left Foot","Right Foot",Spd,Jmp,Str,Work,Height,afa,ifs,ama,dmd,bpdd,fba,sks,"Highest Role Score","Resulting Role"
,"Álex Grimaldo",28,"Bayer 04","€62M - €92M","€115,000 p/w",ESP,"D/WB (L)","Fairly Ambitious",Media-friendly,"Very Strong",Weak,14.5,7,9,15.5,"171 cm",14.8,15.0,15.1,14.1,12.6,14.3,8.6,15.2,"Advanced Playmaker Attack"
,Raphinha,27,Barcelona,"€57M - €68M","€230,000 p/w",BRA,"M (R), AM (RL)",Perfectionist,Media-friendly,"Very Strong",Weak,15.5,7,9,14.5,"176 cm",14.9,15.1,15.0,13.3,11.8,13.5,8.0,15.2,"Winger Support"
Int,"Ferland Mendy",29,"R. Madrid","€25M - €30M","€200,000 p/w",FRA,"D/WB (L)","Fairly Determined",Level-headed,"Very Strong","Fairly Strong",16.5,11,15,16.5,"180 cm",13.5,14.4,14.1,15.1,13.6,14.8,8.4,15.4,"Ball Winning Midfielder Defend"
,"Gonçalo Inácio",22,"Sporting CP",€60M,"€27,000 p/w",POR,"D (C)",Spirited,Evasive,"Very Strong",Weak,13.5,17,15,14.5,"188 cm",13.6,13.6,13.4,14.7,15.1,14.3,8.8,15.1,"Ball Playing Defender Cover"
,"Ousmane Diomande",20,"Sporting CP","€46M - €57M","€26,500 p/w",CIV,"D (C)",Perfectionist,Level-headed,"Fairly Strong","Very Strong",15.5,15,17,14.5,"190 cm",13.4,13.7,13.7,14.4,14.9,14.2,8.4,15,"Deep Lying Playmaker Defend"
Int,"Sebastian Szymański",25,Fenerbahçe,"€29M - €36M","€60,000 p/w",POL,"M/AM (C)",Resolute,Reserved,"Very Strong",Weak,12.5,7,8,16.5,"174 cm",14.4,14.7,14.9,14.3,12.3,14.3,8.4,15.1,"Attacking Midfielder Support"
,Galeno,26,"FC Porto","€37M - €54M","€27,500 p/w",BRA,"M/AM (L)","Fairly Professional",Level-headed,Reasonable,"Very Strong",18,11,10,15,"179 cm",14.8,15.2,14.6,13.1,11.7,13.2,7.4,15.6,"Winger Support"
Int,"Lucas Torreira",28,Galatasaray,"€27M - €40M","€66,000 p/w",URU,DM,Resolute,Reserved,Weak,"Very Strong",13,5,9,16,"168 cm",12.7,13.6,13.6,15.2,12.7,14.6,9.4,15.5,"Ball Winning Midfielder Defend"
,"Jean-Clair Todibo",24,"OGC Nice","€40M - €48M","€24,000 p/w",FRA,"D (C)",Spirited,Evasive,Reasonable,"Very Strong",15,14,16,13,"190 cm",12.5,12.5,12.6,14.4,14.7,13.5,8.1,15,"Nononsense Centre Back Cover"
,"Jonathan Tah",28,"Bayer 04","€37M - €54M","€98,000 p/w",GER,"D (C)","Fairly Professional",Level-headed,Reasonable,"Very Strong",14,17,18,12.5,"195 cm",11.8,11.7,11.9,13.9,14.9,13.1,7.6,15.1,"Central Defender Defend"
,"Tomáš Souček",29,"West Ham","€35M - €43M","€105,000 p/w",CZE,"M (C)",Resolute,Level-headed,Reasonable,"Very Strong",12.5,17,16,18.5,"192 cm",12.8,13.2,12.9,15.2,14.2,14.2,7.7,15.6,"Wide Target Forward Support"
,Reinildo,30,"A. Madrid","€36M - €43M","€56,000 p/w",MOZ,"D (LC)",Resolute,Level-headed,"Very Strong",Weak,15.5,12,13,16.5,"180 cm",12.9,13.5,13.4,15.2,13.6,14.7,7.7,15.4,"Ball Winning Midfielder Defend"
Int,"Jordan Pickford",30,Everton,"€39M - €47M","€175,000 p/w",ENG,GK,Balanced,Level-headed,"Very Strong",Reasonable,8,14,14,12,"187 cm",8.2,9.2,9.1,10.4,10.2,9.0,14.8,14.9,"Goalkeeper Defend"
,"Dominik Livaković",29,Fenerbahçe,"€27M - €40M","€38,500 p/w",CRO,GK,Professional,Reserved,Reasonable,"Very Strong",10,15,13,10.5,"188 cm",8.5,9.0,9.4,11.3,11.3,10.1,14.7,14.7,"Sweeper Keeper Attack"
