Inf,Name,Age,Club,"Transfer Value",Wage,Nat,Position,Personality,"Media Handling","Left Foot","Right Foot",Spd,Jmp,Str,Work,Height,afa,ifs,ama,dmd,bpdd,fba,sks,"Highest Role Score","Resulting Role"
,"George Ilenikhena",17,Antwerp,"€21M - €31M","€3,100 p/w",FRA,"ST (C)",Balanced,Level-headed,"Very Strong",Weak,14,14,13,11.5,"185 cm",13.7,13.1,12.8,11.4,12.1,11.5,6.9,13.7,"Advanced Forward Attack"
Int,"Charlie Ward",15,Liverpool,"€34M - €50M","€250 p/w",ENG,"D (R)",Resolute,Level-headed,Reasonable,"Very Strong",12.5,11,8,16,"185 cm",10.1,11.3,10.9,12.7,10.3,11.9,7.0,13,"Ball Winning Midfielder Defend"
,"Wisdom Amey",18,Bologna,"€10.5M - €15M","€1,900 p/w",ITA,"D (C)","Fairly Professional",Reserved,Strong,"Very Strong",14.5,15,14,11,"184 cm",10.8,11.0,10.6,12.1,12.4,11.7,7.3,12.9,"Nononsense Centre Back Defend"
Int,"Adam Dyer",16,Middlesbrough,"€12M - €18M","€250 p/w",ENG,"AM (L)","Fairly Determined",Level-headed,"Very Strong","Fairly Strong",13.5,6,7,9,"173 cm",11.6,11.5,11.1,9.2,8.5,9.7,5.9,12.1,"Winger Attack"
Yth,"Badara Sy",15,OL,"€17M - €26M","€70 p/w",SEN,"D (C)",Balanced,Media-friendly,"Fairly Strong","Very Strong",11,14,8,11.5,"191 cm",9.7,9.8,9.7,11.6,11.3,11.1,6.1,11.8,"Nononsense Centre Back Cover"
,"Francesco Pio Esposito",19,Inter,"€19M - €23M","€7,750 p/w",ITA,"ST (C)",Resolute,"Media-friendly, Reserved",Reasonable,"Very Strong",13,15,13,10.5,"189 cm",13.5,12.8,12.7,10.9,12.0,10.5,7.8,13.8,"Poacher Attack"
Unh,"Antonio Nusa",19,"Club Brugge","€21M - €26M","€9,000 p/w",NOR,"AM (RL)","Fairly Ambitious",Media-friendly,"Fairly Strong","Very Strong",13,10,10,11,"181 cm",12.9,12.8,12.6,11.1,10.8,11.5,7.4,13,"Trequartista Attack"
Loa,"Arthur Vermeeren",19,"A. Madrid","€15.5M - €18M","€3,200 p/w",BEL,"DM, M (C)","Fairly Loyal",Level-headed,Reasonable,"Very Strong",13,10,11,12.5,"180 cm",12.2,12.3,12.5,12.8,12.3,12.4,7.9,13.2,"Wide Playmaker Support"
,"Fabio Chiarodia",19,"Borussia M'gladbach","€16.5M - €25M","€18,000 p/w",GER,"D (C)","Fairly Ambitious",Media-friendly,"Very Strong",Weak,13,15,13,12,"188 cm",11.4,11.6,11.6,12.5,13.0,12.2,7.9,13.1,"Nononsense Centre Back Defend"
Inj,"Jovan Mijatović",18,NYCFC,"€11.5M - €14M","€6,000 p/w",SRB,"ST (C)",Balanced,Media-friendly,"Very Strong",Reasonable,11.5,13,13,12.5,"180 cm",12.1,12.1,11.9,10.9,11.1,10.7,7.0,12.1,"Advanced Forward Attack"
Loa,"Mika Faye",19,Barcelona,"€8.8M - €13M","€4,400 p/w",SEN,"D (LC)",Resolute,Media-friendly,"Very Strong",Weak,14.5,15,14,12.5,"186 cm",11.5,11.9,11.7,12.9,13.2,12.5,7.4,13.5,"Central Defender Defend"
,"Luís Guilherme",18,SEP,"€11M - €15.5M","€3,600 p/w",BRA,"AM (RC)",Balanced,Media-friendly,"Very Strong",Weak,14.5,6,10,11.5,"178 cm",12.1,12.4,11.9,10.3,9.2,10.5,6.3,12.7,"Winger Attack"
Loa,"Ayman Kari",19,"Paris SG","€15.5M - €18.5M","€17,000 p/w",FRA,"M (C)",Resolute,Level-headed,Weak,"Very Strong",13,8,12,12.5,"176 cm",12.2,12.4,12.5,12.2,11.5,12.3,7.5,12.9,"Advanced Playmaker Attack"
,"Assane Diao",18,"Real Hispalis",€37M,"€18,250 p/w",ESP,"AM (RL)",Balanced,Level-headed,"Fairly Strong","Very Strong",15.5,14,14,14.5,"185 cm",12.7,13.3,12.7,12.4,11.9,12.2,7.1,13.9,"Winger Support"
,"Karim Konaté",20,"Man UFC","€90M - €104M","€67,000 p/w",CIV,"ST (C)",Perfectionist,Media-friendly,"Fairly Strong","Very Strong",16.5,6,13,13.5,"178 cm",14.5,14.3,13.6,12.8,11.7,12.6,8.3,14.7,"Poacher Attack"
Wnt,"Oscar Gloukh",20,"FC RB Salzburg","€19.5M - €23M","€13,750 p/w",ISR,"M/AM (C)",Spirited,Level-headed,Strong,"Very Strong",13,5,8,13,"170 cm",13.6,13.6,13.5,11.9,10.6,12.0,7.9,13.7,"False Nine Support"
