Inf,Name,Age,Club,"Transfer Value",Wage,Nat,Position,Personality,"Media Handling","Left Foot","Right Foot",Spd,Jmp,Str,Work,Height,afa,ifs,ama,dmd,bpdd,fba,sks,"Highest Role Score","Resulting Role"
Sus,"Sandro Tonali",24,Newcastle,"€190M - €208M","€155,000 p/w",ITA,"DM, M (C)",Resolute,Reserved,"Fairly Strong","Very Strong",14,10,15,15.5,"181 cm",13.5,14.0,14.0,14.9,13.6,14.6,8.5,15,"Ball Winning Midfielder Defend"
Una,"Bruno Guimarães",26,Newcastle,"€165M - €181M","€210,000 p/w",BRA,"DM, M (C)",Balanced,Level-headed,Reasonable,"Very Strong",12,12,14,15,"182 cm",14.7,14.6,14.8,14.5,14.3,14.2,9.1,15.3,"Deep Lying Playmaker Defend"
U21,"Tino Livramento",21,Newcastle,€138M,"€83,000 p/w",ENG,"D (R)","Fairly Determined",Level-headed,"Fairly Strong","Very Strong",15.5,11,13,14,"185 cm",13.1,13.4,13.3,13.8,13.1,14.0,7.9,14.4,"Winger Support"
U21,"Alexander Isak",24,Newcastle,"€131M - €156M","€140,000 p/w",SWE,"ST (C)","Fairly Ambitious",Media-friendly,Reasonable,"Very Strong",16.5,14,12,14,"190 cm",15.7,15.3,15.0,13.1,12.7,12.8,8.0,15.7,"Advanced Forward Attack"
U21,"Sven Botman",24,Newcastle,"€115M - €126M","€105,000 p/w",NED,"D (C)",Resolute,Level-headed,"Very Strong",Reasonable,12,15,17,15,"193 cm",11.5,11.8,12.2,14.3,14.4,13.7,7.8,14.6,"Anchor Defend"
U21,Joelinton,27,Newcastle,"€106M - €129M","€115,000 p/w",BRA,"M (C), AM (L)","Fairly Determined",Media-friendly,Reasonable,"Very Strong",13,15,18,19,"186 cm",13.8,14.5,14.6,15.3,14.0,14.6,7.9,16.3,"Wide Target Forward Support"
U21,"Anthony Gordon",23,Newcastle,"€99M - €119M","€105,000 p/w",ENG,"AM (RL)",Resolute,Level-headed,Weak,"Very Strong",16.5,12,9,14.5,"183 cm",14.0,14.2,14.1,13.3,12.0,13.2,7.4,14.7,"Winger Support"
U21,"Hidemasa Morita",29,Newcastle,"€77M - €92M","€140,000 p/w",JPN,"DM, M (C)",Light-Hearted,Evasive,Reasonable,"Very Strong",12.5,8,12,14,"177 cm",13.6,13.5,13.4,13.9,12.9,13.6,8.4,14.2,"Deep Lying Playmaker Defend"
U21,"Luka Sučić",21,Newcastle,"€75M - €83M","€93,000 p/w",CRO,"M (C)","Fairly Determined",Level-headed,"Very Strong","Fairly Strong",15.5,14,12,13.5,"185 cm",13.7,13.9,13.8,12.5,12.0,12.5,7.4,14.1,"Winger Support"
U21,"Lewis Miley",18,Newcastle,"€68M - €82M","€23,500 p/w",ENG,"DM, M (C)",Balanced,Media-friendly,"Fairly Strong","Very Strong",13.5,15,13,13.5,"187 cm",13.1,13.2,13.4,13.4,13.3,13.2,7.7,13.6,"Advanced Playmaker Attack"
